human_means	teen_model_cos_sims
3.642857142857143	0.4221193
3.4285714285714284	0.20580746
3.7857142857142856	0.30917248
3.857142857142857	0.1552194
3.9285714285714284	0.1384141
4.214285714285714	0.09316026
4.0	0.31598744
3.5	0.12220531
3.142857142857143	0.21071346
2.857142857142857	0.13994364
3.2857142857142856	0.3479868
3.857142857142857	0.25991142
3.0714285714285716	0.25239545
3.9285714285714284	0.1743945
3.642857142857143	0.24480602
3.357142857142857	0.06871239
3.5	0.28151867
4.642857142857143	0.22823809
3.0	0.22750334
3.0	0.18256256
